pop
hip hop
hip pop
rap
trap
drill
rock
blues
jazz
country
folk
r&b
motown
soul
classical
electronica
electro
electropop
disco
dance
invasion
emo
punk
post-grunge
grunge
metal
metalcore
reggae
k-pop
urbano
reggaeton
latin
sertanejo
gospel
mpb
lo-fi
soundtrack
worship
